num_run,name,trace_id,latency,total_tokens,total_cost,status,batch_id,tags,prompt_tokens,completion_tokens,prompt_cost,completion_cost
0,f5_mc,f56464f9,4.903043604,604,0.00607,success,7121_batch,"benchmark,gpt-4o,model_converter",299,305,0.001495,0.004575
1,0f_mc,0f28a10a,4.719018009,613,0.006205,success,7121_batch,"benchmark,gpt-4o,model_converter",299,314,0.001495,0.00471
2,07_mc,075d390d,4.709442403,571,0.005575,success,7121_batch,"benchmark,gpt-4o,model_converter",299,272,0.001495,0.00408
3,81_mc,81fcfa5b,3.65172468,548,0.00523,success,7121_batch,"benchmark,gpt-4o,model_converter",299,249,0.001495,0.003735
4,f9_mc,f9db7936,6.491022648,545,0.005185,success,7121_batch,"benchmark,gpt-4o,model_converter",299,246,0.001495,0.00369
5,df_mc,df6b046a,6.903663329,581,0.005725,success,7121_batch,"benchmark,gpt-4o,model_converter",299,282,0.001495,0.00423
6,be_mc,bef7fd15,7.128215999,606,0.0061,success,7121_batch,"benchmark,gpt-4o,model_converter",299,307,0.001495,0.004605
7,6b_mc,6bdee8fe,5.245444335,565,0.005485,success,7121_batch,"benchmark,gpt-4o,model_converter",299,266,0.001495,0.00399
8,6c_mc,6ce14bcf,4.048330252,559,0.005395,success,7121_batch,"benchmark,gpt-4o,model_converter",299,260,0.001495,0.0039
9,6a_mc,6acc5ae6,5.138309218,592,0.00589,success,7121_batch,"benchmark,gpt-4o,model_converter",299,293,0.001495,0.004395
10,0c_mc,0c0bf152,8.742768294,3949,0.024905,success,7121_batch,"benchmark,gpt-4o,model_converter",3433,516,0.017165,0.00774
11,f0_mc,f073942d,10.21236816,564,0.00547,success,7121_batch,"benchmark,gpt-4o,model_converter",299,265,0.001495,0.003975
12,5e_mc,5ef4951b,6.040711649,594,0.00592,success,7121_batch,"benchmark,gpt-4o,model_converter",299,295,0.001495,0.004425
13,28_mc,288d9f29,4.575785528,584,0.00577,success,7121_batch,"benchmark,gpt-4o,model_converter",299,285,0.001495,0.004275
14,3d_mc,3db64ce8,7.66464976,564,0.00547,success,7121_batch,"benchmark,gpt-4o,model_converter",299,265,0.001495,0.003975
15,29_mc,29f621d0,5.345459003,571,0.005575,success,7121_batch,"benchmark,gpt-4o,model_converter",299,272,0.001495,0.00408
16,25_mc,25c13392,5.797906509,551,0.005275,success,7121_batch,"benchmark,gpt-4o,model_converter",299,252,0.001495,0.00378
17,d9_mc,d945a143,6.165386154,587,0.005815,success,7121_batch,"benchmark,gpt-4o,model_converter",299,288,0.001495,0.00432
18,18_mc,18071451,5.584012367,556,0.00535,success,7121_batch,"benchmark,gpt-4o,model_converter",299,257,0.001495,0.003855
19,7e_mc,7e48dfe6,7.175032462,569,0.005545,success,7121_batch,"benchmark,gpt-4o,model_converter",299,270,0.001495,0.00405
20,5b_mc,5b3c7ea7,6.549876479,590,0.00586,success,7121_batch,"benchmark,gpt-4o,model_converter",299,291,0.001495,0.004365
21,a5_mc,a548c1f2,5.668741026,606,0.0061,success,7121_batch,"benchmark,gpt-4o,model_converter",299,307,0.001495,0.004605
22,8a_mc,8a0332e4,6.908070067,564,0.00547,success,7121_batch,"benchmark,gpt-4o,model_converter",299,265,0.001495,0.003975
23,49_mc,49ae9567,6.291970507,560,0.00541,success,7121_batch,"benchmark,gpt-4o,model_converter",299,261,0.001495,0.003915
24,70_mc,70af3961,6.72978953,600,0.00601,success,7121_batch,"benchmark,gpt-4o,model_converter",299,301,0.001495,0.004515
25,7e_mc,7ee01614,4.581627128,564,0.00547,success,7121_batch,"benchmark,gpt-4o,model_converter",299,265,0.001495,0.003975
26,44_mc,447b62ec,8.751745728,575,0.005635,success,7121_batch,"benchmark,gpt-4o,model_converter",299,276,0.001495,0.00414
27,fe_mc,fe05af47,4.392583286,567,0.005515,success,7121_batch,"benchmark,gpt-4o,model_converter",299,268,0.001495,0.00402
28,e5_mc,e5f3cd88,4.515454382,575,0.005635,success,7121_batch,"benchmark,gpt-4o,model_converter",299,276,0.001495,0.00414
29,3f_mc,3f2ed1e4,8.116725063,595,0.005935,success,7121_batch,"benchmark,gpt-4o,model_converter",299,296,0.001495,0.00444
