run_name,processor,model,parameters,status,generation_count,latency,total_tokens,prompt_tokens,completion_tokens,parameters,timestamp,test_date,category,trace_id,batch_id
c3f0_pysg,psg,codestral,NP,failure,5,83.67,14354,10052,4302,NP,1755032777,08.14,codestral_psg_NP,c3f0ca35,codestral_9eb0_psg
2e1b_pysg,psg,codestral,NP,success,1,18.22,2804,1860,944,NP,1755032869,08.14,codestral_psg_NP,2e1b6dc7,codestral_9eb0_psg
04f1_pysg,psg,codestral,NP,failure,5,45.19,12203,10052,2151,NP,1755032901,08.14,codestral_psg_NP,04f13a31,codestral_9eb0_psg
ef2f_pysg,psg,codestral,NP,success,3,51.4,8602,5956,2646,NP,1755032954,08.14,codestral_psg_NP,ef2f63ba,codestral_9eb0_psg
5052_pysg,psg,codestral,NP,failure,5,63.69,13238,10052,3186,NP,1755033013,08.14,codestral_psg_NP,50529bc5,codestral_9eb0_psg
459c_pysg,psg,codestral,NP,failure,5,53.66,12676,10052,2624,NP,1755033084,08.14,codestral_psg_NP,459ca5b9,codestral_9eb0_psg
1c24_pysg,psg,codestral,NP,failure,5,73.07,13761,10052,3709,NP,1755033145,08.14,codestral_psg_NP,1c24afd9,codestral_9eb0_psg
21e6_pysg,psg,codestral,NP,failure,5,53.08,12644,10052,2592,NP,1755033225,08.14,codestral_psg_NP,21e6eeda,codestral_9eb0_psg
e56d_pysg,psg,codestral,NP,failure,5,75.53,13896,10052,3844,NP,1755033314,08.14,codestral_psg_NP,e56d5692,codestral_9eb0_psg
e079_pysg,psg,codestral,NP,failure,5,83,14317,10052,4265,NP,1755033397,08.14,codestral_psg_NP,e07955a4,codestral_9eb0_psg
9efc_pysg,psg,codestral,NP,failure,5,69.65,13572,10052,3520,NP,1755033487,08.14,codestral_psg_NP,9efc3663,codestral_9eb0_psg
ad50_pysg,psg,codestral,NP,success,3,37.56,7832,5956,1876,NP,1755033564,08.14,codestral_psg_NP,ad50fd29,codestral_9eb0_psg
7a6e_pysg,psg,codestral,NP,failure,5,68.76,13514,10052,3462,NP,1755033608,08.14,codestral_psg_NP,7a6e6c4c,codestral_9eb0_psg
cb93_pysg,psg,codestral,NP,success,4,58.63,10984,8004,2980,NP,1755033685,08.14,codestral_psg_NP,cb93fee2,codestral_9eb0_psg
eec4_pysg,psg,codestral,NP,failure,5,69.06,13538,10052,3486,NP,1755033756,08.14,codestral_psg_NP,eec4f5fa,codestral_9eb0_psg
33ea_pysg,psg,codestral,NP,failure,5,55.38,12771,10052,2719,NP,1755033832,08.14,codestral_psg_NP,33ea5ba9,codestral_9eb0_psg
75f9_pysg,psg,codestral,NP,failure,5,54.64,12732,10052,2680,NP,1755033895,08.14,codestral_psg_NP,75f9cd3b,codestral_9eb0_psg
598d_pysg,psg,codestral,NP,failure,5,76.5,13952,10052,3900,NP,1755033956,08.14,codestral_psg_NP,598d0f9e,codestral_9eb0_psg
bc33_pysg,psg,codestral,NP,failure,5,78.29,14053,10052,4001,NP,1755034040,08.14,codestral_psg_NP,bc3371fc,codestral_9eb0_psg
6c45_pysg,psg,codestral,NP,failure,5,53.01,12643,10052,2591,NP,1755034134,08.14,codestral_psg_NP,6c45a44d,codestral_9eb0_psg
8d09_pysg,psg,codestral,NP,success,4,75.8,11940,8004,3936,NP,1755034195,08.14,codestral_psg_NP,8d09642f,codestral_9eb0_psg
5b10_pysg,psg,codestral,NP,failure,5,80.59,14176,10052,4124,NP,1755034283,08.14,codestral_psg_NP,5b1048a5,codestral_9eb0_psg
6fc4_pysg,psg,codestral,NP,failure,5,68.65,13516,10052,3464,NP,1755034371,08.14,codestral_psg_NP,6fc427e4,codestral_9eb0_psg
df00_pysg,psg,codestral,NP,failure,5,61.78,13134,10052,3082,NP,1755034446,08.14,codestral_psg_NP,df00fd9e,codestral_9eb0_psg
e382_pysg,psg,codestral,NP,failure,5,78.12,14044,10052,3992,NP,1755034515,08.14,codestral_psg_NP,e382acfd,codestral_9eb0_psg
6bb4_pysg,psg,codestral,NP,failure,5,67.82,13467,10052,3415,NP,1755034601,08.14,codestral_psg_NP,6bb447bb,codestral_9eb0_psg
00cb_pysg,psg,codestral,NP,failure,5,80.71,14190,10052,4138,NP,1755034677,08.14,codestral_psg_NP,00cba1df,codestral_9eb0_psg
304c_pysg,psg,codestral,NP,failure,5,66.12,13373,10052,3321,NP,1755034765,08.14,codestral_psg_NP,304c0ebe,codestral_9eb0_psg
63b8_pysg,psg,codestral,NP,failure,5,69.67,13562,10052,3510,NP,1755034839,08.14,codestral_psg_NP,63b89a71,codestral_9eb0_psg
4076_pysg,psg,codestral,NP,failure,5,71.52,13677,10052,3625,NP,1755034915,08.14,codestral_psg_NP,4076f460,codestral_9eb0_psg
8caa_tpusg,tpusg,codestral,NP,failure,5,176.51,15386,10240,5146,NP,1755029242,08.14,codestral_tpusg_NP,8caa211a,codestral_9eb0_tpusg
6916_tpusg,tpusg,codestral,NP,failure,5,76.6,14137,10240,3897,NP,1755029464,08.14,codestral_tpusg_NP,6916c8e7,codestral_9eb0_tpusg
cd35_tpusg,tpusg,codestral,NP,success,4,79.28,12312,8192,4120,NP,1755029586,08.14,codestral_tpusg_NP,cd35e47a,codestral_9eb0_tpusg
3b1d_tpusg,tpusg,codestral,NP,failure,5,74.2,14000,10240,3760,NP,1755029745,08.14,codestral_tpusg_NP,3b1d8b42,codestral_9eb0_tpusg
af79_tpusg,tpusg,codestral,NP,failure,5,61.3,13287,10240,3047,NP,1755029850,08.14,codestral_tpusg_NP,af798558,codestral_9eb0_tpusg
c827_tpusg,tpusg,codestral,NP,failure,5,50.62,12690,10240,2450,NP,1755029934,08.14,codestral_tpusg_NP,c827ef44,codestral_9eb0_tpusg
cab5_tpusg,tpusg,codestral,NP,failure,5,92.77,15041,10240,4801,NP,1755029992,08.14,codestral_tpusg_NP,cab505b0,codestral_9eb0_tpusg
af94_tpusg,tpusg,codestral,NP,failure,5,55.55,12964,10240,2724,NP,1755030115,08.14,codestral_tpusg_NP,af94b221,codestral_9eb0_tpusg
4ab2_tpusg,tpusg,codestral,NP,failure,5,104.21,15672,10240,5432,NP,1755030204,08.14,codestral_tpusg_NP,4ab2ef40,codestral_9eb0_tpusg
