run_name,processor,model,parameters,status,generation_count,latency,total_tokens,prompt_tokens,completion_tokens,parameters,timestamp,test_date,category,trace_id,batch_id
0cb0_tpusg,tpusg,gemma3,NP,failure,5,183.62,15480,10158,5322,NP,1755046472,08.16,gemma3:27b_tpusg_NP,0cb09b9c,gemma3:27b_04fd_tpusg
4931_tpusg,tpusg,gemma3,NP,failure,5,152.46,15648,10158,5490,NP,1755046705,08.16,gemma3:27b_tpusg_NP,493141d8,gemma3:27b_04fd_tpusg
9455_tpusg,tpusg,gemma3,NP,failure,5,154.36,15723,10158,5565,NP,1755046905,08.16,gemma3:27b_tpusg_NP,94553bd3,gemma3:27b_04fd_tpusg
2b83_tpusg,tpusg,gemma3,NP,failure,5,146.38,15422,10158,5264,NP,1755047094,08.16,gemma3:27b_tpusg_NP,2b830517,gemma3:27b_04fd_tpusg
d0b5_tpusg,tpusg,gemma3,NP,failure,5,148.85,15514,10158,5356,NP,1755047273,08.16,gemma3:27b_tpusg_NP,d0b56e1d,gemma3:27b_04fd_tpusg
c956_tpusg,tpusg,gemma3,NP,failure,5,145.48,15379,10158,5221,NP,1755047470,08.16,gemma3:27b_tpusg_NP,c956f84e,gemma3:27b_04fd_tpusg
e845_tpusg,tpusg,gemma3,NP,failure,5,156.94,15824,10158,5666,NP,1755047664,08.16,gemma3:27b_tpusg_NP,e8454610,gemma3:27b_04fd_tpusg
fd40_tpusg,tpusg,gemma3,NP,failure,5,148.18,15484,10158,5326,NP,1755047852,08.16,gemma3:27b_tpusg_NP,fd403fc0,gemma3:27b_04fd_tpusg
9068_tpusg,tpusg,gemma3,NP,failure,5,155.97,15793,10158,5635,NP,1755048043,08.16,gemma3:27b_tpusg_NP,90680e9a,gemma3:27b_04fd_tpusg
38b6_tpusg,tpusg,gemma3,NP,failure,4,116.28,12287,8110,4177,NP,1755048246,08.16,gemma3:27b_tpusg_NP,38b6e653,gemma3:27b_04fd_tpusg
62d8_tpusg,tpusg,gemma3,NP,failure,5,146.89,15434,10158,5276,NP,1755054395,08.16,gemma3:27b_tpusg_NP,62d8652c,gemma3:27b_04fd_tpusg
5f1d_tpusg,tpusg,gemma3,NP,failure,5,137.84,15090,10158,4932,NP,1755054586,08.16,gemma3:27b_tpusg_NP,5f1d4ea8,gemma3:27b_04fd_tpusg
7be2_tpusg,tpusg,gemma3,NP,failure,5,151.61,15621,10158,5463,NP,1755054769,08.16,gemma3:27b_tpusg_NP,7be24bc5,gemma3:27b_04fd_tpusg
a7b0_tpusg,tpusg,gemma3,NP,success,3,87.37,9202,6062,3140,NP,1755054968,08.16,gemma3:27b_tpusg_NP,a7b08e90,gemma3:27b_04fd_tpusg
470d_tpusg,tpusg,gemma3,NP,success,5,156.53,15810,10158,5652,NP,1755055080,08.16,gemma3:27b_tpusg_NP,470d8057,gemma3:27b_04fd_tpusg
613e_tpusg,tpusg,gemma3,NP,failure,5,154.04,15717,10158,5559,NP,1755055279,08.16,gemma3:27b_tpusg_NP,613e3500,gemma3:27b_04fd_tpusg
cd92_tpusg,tpusg,gemma3,NP,failure,5,143.7,15314,10158,5156,NP,1755055480,08.16,gemma3:27b_tpusg_NP,cd923ebe,gemma3:27b_04fd_tpusg
9d4b_tpusg,tpusg,gemma3,NP,failure,5,141.68,15237,10158,5079,NP,1755055672,08.16,gemma3:27b_tpusg_NP,9d4b96e2,gemma3:27b_04fd_tpusg
46aa_tpusg,tpusg,gemma3,NP,failure,5,154.12,15719,10158,5561,NP,1755055860,08.16,gemma3:27b_tpusg_NP,46aa2a73,gemma3:27b_04fd_tpusg
80c1_tpusg,tpusg,gemma3,NP,failure,5,150.14,15562,10158,5404,NP,1755056062,08.16,gemma3:27b_tpusg_NP,80c14300,gemma3:27b_04fd_tpusg
f836_tpusg,tpusg,gemma3,NP,failure,5,162.9,16061,10158,5903,NP,1755056246,08.16,gemma3:27b_tpusg_NP,f836fb10,gemma3:27b_04fd_tpusg
86dd_tpusg,tpusg,gemma3,NP,failure,5,155.32,15764,10158,5606,NP,1755056455,08.16,gemma3:27b_tpusg_NP,86ddf27b,gemma3:27b_04fd_tpusg
8735_tpusg,tpusg,gemma3,NP,failure,5,140.36,15187,10158,5029,NP,1755056659,08.16,gemma3:27b_tpusg_NP,8735fe55,gemma3:27b_04fd_tpusg
4a65_tpusg,tpusg,gemma3,NP,failure,5,160.78,15981,10158,5823,NP,1755056846,08.16,gemma3:27b_tpusg_NP,4a65e9b4,gemma3:27b_04fd_tpusg
ecf2_tpusg,tpusg,gemma3,NP,failure,5,165.5,16162,10158,6004,NP,1755057052,08.16,gemma3:27b_tpusg_NP,ecf2b140,gemma3:27b_04fd_tpusg
5a0b_tpusg,tpusg,gemma3,NP,failure,5,151.68,15624,10158,5466,NP,1755057260,08.16,gemma3:27b_tpusg_NP,5a0bac0f,gemma3:27b_04fd_tpusg
7246_tpusg,tpusg,gemma3,NP,failure,5,152.22,15646,10158,5488,NP,1755057442,08.16,gemma3:27b_tpusg_NP,72460b7c,gemma3:27b_04fd_tpusg
285d_tpusg,tpusg,gemma3,NP,failure,5,152.23,15646,10158,5488,NP,1755057640,08.16,gemma3:27b_tpusg_NP,285d4385,gemma3:27b_04fd_tpusg
c671_tpusg,tpusg,gemma3,NP,failure,5,154.66,15738,10158,5580,NP,1755057838,08.16,gemma3:27b_tpusg_NP,c671d96f,gemma3:27b_04fd_tpusg
bf28_tpusg,tpusg,gemma3,NP,failure,5,134.82,14975,10158,4817,NP,1755058041,08.16,gemma3:27b_tpusg_NP,bf281dd8,gemma3:27b_04fd_tpusg
8eab_pysg,psg,gemma3,P,failure,5,98.97,13378,9913,3465,P,1755021191,08.13,gemma3:27b_psg_P,8eabe42b,gemma3:27b_3888_psg
