run_name,processor,model,parameters,status,generation_count,latency,total_tokens,prompt_tokens,completion_tokens,parameters,timestamp,test_date,category,trace_id,batch_id
74ed_pysg,psg,phi4,P,success,1,14.56,2245,1598,647,P,1754399949,08.07,phi4_psg_P,74ed980d,phi4_3b43_psg
779a_pysg,psg,phi4,P,success,1,13.96,2245,1598,647,P,1754400003,08.07,phi4_psg_P,779a6cce,phi4_3b43_psg
0992_pysg,psg,phi4,P,success,1,13.97,2242,1598,644,P,1754400055,08.07,phi4_psg_P,09927bf3,phi4_3b43_psg
55e7_pysg,psg,phi4,P,success,1,13.87,2242,1598,644,P,1754400109,08.07,phi4_psg_P,55e7ec9f,phi4_3b43_psg
cf59_pysg,psg,phi4,P,success,1,14.29,2242,1598,644,P,1754400164,08.07,phi4_psg_P,cf590e4c,phi4_3b43_psg
7ef8_pysg,psg,phi4,P,success,1,14.03,2242,1598,644,P,1754400218,08.07,phi4_psg_P,7ef8453c,phi4_3b43_psg
baad_pysg,psg,phi4,P,success,1,14.13,2242,1598,644,P,1754400273,08.07,phi4_psg_P,baad8bbc,phi4_3b43_psg
b2ce_pysg,psg,phi4,P,success,1,14.03,2245,1598,647,P,1754400328,08.07,phi4_psg_P,b2ce77f0,phi4_3b43_psg
0dc0_pysg,psg,phi4,P,success,1,14.05,2242,1598,644,P,1754400381,08.07,phi4_psg_P,0dc00de2,phi4_3b43_psg
2e25_pysg,psg,phi4,P,success,1,13.94,2242,1598,644,P,1754400435,08.07,phi4_psg_P,2e25c4be,phi4_3b43_psg
8b5e_pysg,psg,phi4,P,success,1,13.82,2242,1598,644,P,1754400487,08.07,phi4_psg_P,8b5e35d5,phi4_3b43_psg
960d_pysg,psg,phi4,P,success,1,14.04,2242,1598,644,P,1754400538,08.07,phi4_psg_P,960dd108,phi4_3b43_psg
9dfb_pysg,psg,phi4,P,success,1,13.93,2242,1598,644,P,1754400590,08.07,phi4_psg_P,9dfb1f48,phi4_3b43_psg
4720_pysg,psg,phi4,P,success,1,13.88,2242,1598,644,P,1754400641,08.07,phi4_psg_P,4720e61f,phi4_3b43_psg
7e75_pysg,psg,phi4,P,success,1,13.96,2245,1598,647,P,1754400695,08.07,phi4_psg_P,7e752199,phi4_3b43_psg
2421_pysg,psg,phi4,P,success,1,13.98,2245,1598,647,P,1754400750,08.07,phi4_psg_P,24210cf5,phi4_3b43_psg
b4cc_pysg,psg,phi4,P,success,1,13.92,2242,1598,644,P,1754400804,08.07,phi4_psg_P,b4cc45b2,phi4_3b43_psg
